Trial,Framesize,Iteration,Agg Tx Rate (% Line Rate),Agg Rx Throughput (% Line Rate),Agg Rx Throughput (fps),Agg Rx Throughput (Mbps),Agg Tx Count (frames),Agg Rx Count (frames),Agg Frame Loss (frames),Agg Frame Loss (%),Min Latency (ns),Max Latency (ns),Avg Latency (ns)
1,66,6,22.656,22.656,658612.167,347.747,39516716.000,39516716.000,0.000,0.000,20000.000,1437560.000,61693.000
1,128,8,35.805,35.805,604808.908,619.324,36288534.000,36288534.000,0.000,0.000,20280.000,1389260.000,56713.000
1,256,7,82.984,82.984,751670.684,1539.422,45100204.000,45100204.000,0.000,0.000,19940.000,1407280.000,70159.000
1,512,8,69.836,69.836,328176.279,1344.210,19690584.000,19690584.000,0.000,0.000,29320.000,2315600.000,106484.500
1,1024,6,96.906,96.906,232054.792,1900.993,13923312.000,13923312.000,0.000,0.000,62160.000,6239220.000,252741.000
1,1280,7,89.172,89.172,171484.219,1755.998,10289062.000,10289062.000,0.000,0.000,32060.000,1660500.000,129880.000
1,1518,8,65.195,65.195,105974.098,1286.949,6358450.000,6358450.000,0.000,0.000,39980.000,1407520.000,101445.500
